yapi alani(m²),1.sinif,2.sinif,3.sinif,4.sinif,5.sinif
50,4.73,5.29,5.85,6.41,6.97
100,4.64,5.20,5.76,6.32,6.88
150,4.55,5.11,5.67,6.23,6.79
200,4.46,5.02,5.58,6.14,6.70
250,4.37,4.93,5.49,6.05,6.61
300,4.28,4.84,5.40,5.96,6.52
350,4.19,4.75,5.31,5.87,6.43
400,4.10,4.66,5.22,5.78,6.34
450,4.01,4.57,5.13,5.69,6.25
500,3.92,4.48,5.04,5.60,6.16
500,3.92,4.48,5.04,5.60,6.16
550,3.83,4.39,4.95,5.51,6.07
600,3.74,4.30,4.86,5.42,5.98
650,3.65,4.21,4.77,5.33,5.89
700,3.56,4.12,4.68,5.24,5.80
750,3.47,4.03,4.59,5.15,5.71
800,3.38,3.94,4.50,5.06,5.62
850,3.29,3.85,4.41,4.97,5.53
900,3.20,3.76,4.32,4.88,5.44
950,3.11,3.67,4.23,4.79,5.35
1000,3.02,3.58,4.14,4.70,5.26
1050,3.00,3.56,4.11,4.66,5.22
1100,2.98,3.54,4.08,4.63,5.18
1150,2.96,3.51,4.05,4.60,5.14
1200,2.94,3.49,4.02,4.56,5.10
1250,2.92,3.46,3.99,4.53,5.07
1300,2.90,3.44,3.96,4.50,5.04
1350,2.88,3.41,3.93,4.46,4.99
1400,2.86,3.39,3.90,4.43,4.96
1450,2.84,3.36,3.87,4.40,4.92
1500,2.82,3.34,3.85,4.37,4.88
1550,2.80,3.31,3.82,4.34,4.85
1600,2.78,3.29,3.79,4.31,4.81
1650,2.76,3.26,3.76,4.27,4.77
1700,2.74,3.24,3.73,4.24,4.73
1750,2.72,3.22,3.70,4.21,4.69
1800,2.70,3.19,3.67,4.17,4.66
1850,2.68,3.17,3.64,4.14,4.62
1900,2.66,3.14,3.61,4.11,4.58
1950,2.64,3.12,3.58,4.07,4.54
2000,2.62,3.09,3.56,4.04,4.50
2100,2.60,3.04,3.50,3.97,4.43
2200,2.54,2.99,3.44,3.91,4.35
2300,2.50,2.94,3.38,3.84,4.28
2400,2.46,2.89,3.32,3.77,4.20
2500,2.42,2.84,3.27,3.70,4.12
2600,2.40,2.82,3.25,3.67,4.09
2700,2.38,2.80,3.22,3.64,4.05
2800,2.37,2.78,3.20,3.61,4.02
2900,2.35,2.76,3.17,3.58,3.98
3000,2.33,2.74,3.14,3.55,3.95
3100,2.32,2.72,3.12,3.52,3.91
3200,2.30,2.70,3.09,3.49,3.88
3300,2.28,2.68,3.07,3.46,3.84
3400,2.26,2.66,3.04,3.43,3.81
3500,2.25,2.63,3.01,3.40,3.77
3600,2.23,2.61,2.99,3.37,3.74
3700,2.21,2.59,2.96,3.34,3.70
3800,2.20,2.57,2.94,3.30,3.67
3900,2.18,2.55,2.91,3.27,3.63
4000,2.16,2.53,2.88,3.24,3.60
4100,2.15,2.51,2.86,3.21,3.56
4200,2.13,2.48,2.83,3.18,3.53
4300,2.12,2.46,2.81,3.15,3.49
4400,2.11,2.44,2.78,3.12,3.46
4500,2.09,2.42,2.75,3.09,3.42
4600,2.07,2.40,2.73,3.06,3.39
4700,2.06,2.38,2.70,3.03,3.35
4800,2.04,2.36,2.68,3.00,3.32
4900,2.02,2.34,2.65,2.96,3.28
5000,2.00,2.31,2.62,2.93,3.24
5200,1.98,2.29,2.59,2.90,3.20
5400,1.96,2.27,2.57,2.87,3.17
5600,1.95,2.25,2.54,2.84,3.14
5800,1.93,2.23,2.52,2.82,3.11
6000,1.92,2.21,2.50,2.79,3.08
6500,1.88,2.16,2.44,2.72,3.00
7000,1.84,2.11,2.38,2.65,2.92
7500,1.80,2.07,2.32,2.59,2.84
8000,1.77,2.03,2.28,2.54,2.79
8500,1.75,2.00,2.25,2.50,2.74
9000,1.73,1.97,2.21,2.46,2.70
9500,1.71,1.94,2.18,2.42,2.65
10000,1.69,1.91,2.15,2.38,2.61
10500,1.66,1.88,2.12,2.34,2.57
11000,1.64,1.86,2.09,2.31,2.53
11500,1.61,1.83,2.06,2.27,2.49
12000,1.59,1.81,2.03,2.24,2.45
12500,1.57,1.79,2.00,2.21,2.42
13000,1.55,1.76,1.97,2.18,2.39
13500,1.53,1.74,1.94,2.15,2.36
14000,1.52,1.72,1.92,2.12,2.33
14500,1.50,1.70,1.89,2.09,2.30
15000,1.49,1.68,1.87,2.07,2.27
17500,1.41,1.58,1.76,1.94,2.12
20000,1.34,1.51,1.67,1.84,2.00
22500,1.28,1.43,1.57,1.73,1.88
25000,1.22,1.35,1.50,1.64,1.79
27500,1.16,1.29,1.42,1.55,1.68
30000,1.10,1.22,1.35,1.47,1.61
32500,1.05,1.18,1.31,1.44,1.57
35000,1.01,1.14,1.26,1.39,1.51
37500,0.98,1.10,1.22,1.34,1.46
40000,0.95,1.07,1.18,1.30,1.41
42500,0.92,1.04,1.15,1.26,1.37
45000,0.89,1.01,1.11,1.23,1.33
47500,0.87,0.98,1.08,1.19,1.30
50000,0.85,0.96,1.05,1.16,1.26
52500,0.83,0.93,1.03,1.14,1.23
55000,0.81,0.91,1.00,1.11,1.20
57500,0.79,0.89,0.98,1.09,1.18
60000,0.77,0.87,0.96,1.05,1.15
62500,0.76,0.85,0.94,1.04,1.13
65000,0.74,0.84,0.93,1.02,1.11
67500,0.73,0.82,0.91,1.00,1.09
70000,0.72,0.81,0.89,0.98,1.07
72500,0.70,0.79,0.88,0.97,1.05
75000,0.69,0.78,0.85,0.95,1.03
77500,0.68,0.77,0.85,0.93,1.02
80000,0.67,0.75,0.83,0.92,1.00
